id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
18136,option,100,152.85,123.05,-3009.9999999999995,2021-12-14 09:15:01.293617+00:00,2021-12-15 04:05:08.192835+00:00,17200,ce,2,Bank50 Pyramiding_1,NIFTY
18143,option,25,501.9,524.6,537.5000000000011,2021-12-14 09:25:02.966920+00:00,2021-12-15 04:10:31.814994+00:00,36500,ce,1,BankNifty Pyramiding_1,BANKNIFTY
18144,option,100,159.15,123.45,-3600.0000000000005,2021-12-14 09:25:03.124147+00:00,2021-12-15 04:05:01.264295+00:00,17200,ce,4,Nifty50 Pyramiding_10,NIFTY
18145,option,100,159.35,123.05,-3659.9999999999995,2021-12-14 09:25:05.353353+00:00,2021-12-15 04:05:08.192835+00:00,17200,ce,2,Bank50 Pyramiding_1,NIFTY
18146,option,100,166.0,123.45,-4285.0,2021-12-14 09:30:00.982522+00:00,2021-12-15 04:05:01.264295+00:00,17200,ce,4,Nifty50 Pyramiding_10,NIFTY
18147,option,25,501.05,455.0,-1181.2500000000002,2021-12-14 09:30:01.855607+00:00,2021-12-15 05:10:22.686392+00:00,36500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
18150,option,100,179.45,123.45,-5629.999999999998,2021-12-14 09:35:00.919687+00:00,2021-12-15 04:05:01.264295+00:00,17200,ce,4,Nifty50 Pyramiding_10,NIFTY
18151,option,100,180.65,123.05,-5790.000000000001,2021-12-14 09:35:01.155694+00:00,2021-12-15 04:05:08.192835+00:00,17200,ce,2,Bank50 Pyramiding_1,NIFTY
18152,option,25,469.4,383.7,-2172.4999999999995,2021-12-14 09:35:02.526039+00:00,2021-12-15 05:10:22.686392+00:00,36600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
18157,option,25,459.5,383.7,-1925.0000000000002,2021-12-14 09:40:02.688145+00:00,2021-12-15 05:10:22.686392+00:00,36600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
18158,option,100,175.95,123.45,-5279.999999999998,2021-12-14 09:40:03.293894+00:00,2021-12-15 04:05:01.264295+00:00,17200,ce,4,Nifty50 Pyramiding_10,NIFTY
18159,option,25,458.0,449.45,-243.75000000000028,2021-12-14 09:40:03.709689+00:00,2021-12-15 04:10:31.814994+00:00,36600,ce,1,BankNifty Pyramiding_1,BANKNIFTY
18160,option,100,175.95,123.05,-5319.999999999999,2021-12-14 09:40:05.357756+00:00,2021-12-15 04:05:08.192835+00:00,17200,ce,2,Bank50 Pyramiding_1,NIFTY
18163,option,25,461.0,383.7,-1962.5000000000002,2021-12-14 09:45:01.680150+00:00,2021-12-15 05:10:22.686392+00:00,36600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
18164,option,100,175.75,123.45,-5260.0,2021-12-14 09:45:00.690840+00:00,2021-12-15 04:05:01.264295+00:00,17200,ce,4,Nifty50 Pyramiding_10,NIFTY
18167,option,100,181.65,123.45,-5850.0,2021-12-14 09:50:00.745672+00:00,2021-12-15 04:05:01.264295+00:00,17200,ce,4,Nifty50 Pyramiding_10,NIFTY
18168,option,25,468.75,383.7,-2156.2500000000005,2021-12-14 09:50:01.635388+00:00,2021-12-15 05:10:22.686392+00:00,36600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
18171,option,25,470.35,383.7,-2196.250000000001,2021-12-14 09:55:00.796468+00:00,2021-12-15 05:10:22.686392+00:00,36600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
