id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
1,option,25,462.8,784.55,8043.749999999998,2021-10-08 20:06:24.852420+00:00,2021-10-11 09:40:01.207565+00:00,37600,ce,1,BankNifty Pyramiding_1,BANKNIFTY
2,option,350,462.8,776.35,109742.5,2021-10-08 20:06:47.282118+00:00,2021-10-11 09:45:01.591930+00:00,37600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
3,option,100,176.75,176.75,0.0,2021-10-08 20:07:39.488561+00:00,2021-10-08 20:08:18.748495+00:00,17800,ce,2,Nifty50 Pyramiding_1,NIFTY
5,option,-200,158.0,138.4,-3919.999999999999,2021-10-08 20:08:38.249577+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Nifty50 Pyramiding_10,NIFTY
11,option,-100,152.2,111.05,-4114.999999999999,2021-10-11 03:45:11.752422+00:00,2021-10-11 04:10:00.947890+00:00,17950,pe,4,Bank50 Pyramiding_10,NIFTY
17,option,25,460.9,704.1,6080.000000000001,2021-10-11 03:50:02.822274+00:00,2021-10-11 09:40:01.207565+00:00,37700,ce,1,BankNifty Pyramiding_1,BANKNIFTY
18,option,25,461.65,690.3,5716.249999999999,2021-10-11 03:50:03.407163+00:00,2021-10-11 09:45:01.591930+00:00,37700,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19,option,-100,157.15,138.4,-1875.0,2021-10-11 03:50:02.801529+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
20,option,-100,157.15,139.15,-1800.0,2021-10-11 03:50:03.988540+00:00,2021-10-11 04:10:02.247321+00:00,18000,pe,2,Bank50 Pyramiding_1,NIFTY
22,option,-100,159.65,139.15,-2050.0,2021-10-11 03:54:46.654027+00:00,2021-10-11 04:10:02.247321+00:00,18000,pe,2,Bank50 Pyramiding_1,NIFTY
23,option,25,470.7,704.1,5835.000000000001,2021-10-11 03:54:46.651491+00:00,2021-10-11 09:40:01.207565+00:00,37700,ce,1,BankNifty Pyramiding_1,BANKNIFTY
25,option,25,473.25,690.3,5426.249999999999,2021-10-11 03:54:54.741750+00:00,2021-10-11 09:45:01.591930+00:00,37700,ce,3,BankNifty Pyramiding_10,BANKNIFTY
26,option,-100,158.95,138.4,-2054.999999999998,2021-10-11 03:54:56.228572+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
27,option,-100,158.5,138.4,-2009.9999999999995,2021-10-11 03:55:00.920424+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
28,option,25,475.05,704.1,5726.25,2021-10-11 03:55:01.207400+00:00,2021-10-11 09:40:01.207565+00:00,37700,ce,1,BankNifty Pyramiding_1,BANKNIFTY
29,option,25,475.05,690.3,5381.249999999998,2021-10-11 03:55:02.352050+00:00,2021-10-11 09:45:01.591930+00:00,37700,ce,3,BankNifty Pyramiding_10,BANKNIFTY
31,option,-100,157.4,138.4,-1900.0,2021-10-11 04:00:02.187408+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
32,option,25,488.0,704.1,5402.500000000001,2021-10-11 04:00:03.024405+00:00,2021-10-11 09:40:01.207565+00:00,37700,ce,1,BankNifty Pyramiding_1,BANKNIFTY
34,option,25,488.25,690.3,5051.249999999999,2021-10-11 04:00:05.164522+00:00,2021-10-11 09:45:01.591930+00:00,37700,ce,3,BankNifty Pyramiding_10,BANKNIFTY
36,option,25,517.35,690.3,4323.749999999998,2021-10-11 04:05:01.256712+00:00,2021-10-11 09:45:01.591930+00:00,37700,ce,3,BankNifty Pyramiding_10,BANKNIFTY
37,option,-100,173.4,170.0,-340.00000000000057,2021-10-11 04:05:01.205709+00:00,2021-10-11 04:10:00.947890+00:00,18050,pe,4,Bank50 Pyramiding_10,NIFTY
38,option,25,453.3,621.95,4216.250000000001,2021-10-11 04:10:00.798159+00:00,2021-10-11 09:40:01.207565+00:00,37800,ce,1,BankNifty Pyramiding_1,BANKNIFTY
39,option,100,181.95,233.8,5185.000000000002,2021-10-11 04:10:00.947890+00:00,2021-10-11 06:40:04.691518+00:00,17800,ce,4,Bank50 Pyramiding_10,NIFTY
