id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
3,option,100,176.75,176.75,0.0,2021-10-08 20:07:39.488561+00:00,2021-10-08 20:08:18.748495+00:00,17800,ce,2,Nifty50 Pyramiding_1,NIFTY
816,option,-100,184.8,90.8,-9400.000000000002,2021-10-13 17:21:33.201807+00:00,2021-10-14 04:32:08.633097+00:00,18350,pe,4,NIFTY50 Pyramiding_10,NIFTY
14295,option,1500,16.2,15.05,-1724.999999999998,2021-11-30 08:50:02.019465+00:00,2021-11-30 09:30:05.208061+00:00,470,ce,8,SBI Pyramiding[10]_atm,SBIN
5,option,-200,158.0,138.4,-3919.999999999999,2021-10-08 20:08:38.249577+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Nifty50 Pyramiding_10,NIFTY
11,option,-100,152.2,111.05,-4114.999999999999,2021-10-11 03:45:11.752422+00:00,2021-10-11 04:10:00.947890+00:00,17950,pe,4,Bank50 Pyramiding_10,NIFTY
19,option,-100,157.15,138.4,-1875.0,2021-10-11 03:50:02.801529+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
26,option,-100,158.95,138.4,-2054.999999999998,2021-10-11 03:54:56.228572+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
27,option,-100,158.5,138.4,-2009.9999999999995,2021-10-11 03:55:00.920424+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
31,option,-100,157.4,138.4,-1900.0,2021-10-11 04:00:02.187408+00:00,2021-10-11 04:10:00.947890+00:00,18000,pe,4,Bank50 Pyramiding_10,NIFTY
37,option,-100,173.4,170.0,-340.00000000000057,2021-10-11 04:05:01.205709+00:00,2021-10-11 04:10:00.947890+00:00,18050,pe,4,Bank50 Pyramiding_10,NIFTY
20,option,-100,157.15,139.15,-1800.0,2021-10-11 03:50:03.988540+00:00,2021-10-11 04:10:02.247321+00:00,18000,pe,2,Bank50 Pyramiding_1,NIFTY
22,option,-100,159.65,139.15,-2050.0,2021-10-11 03:54:46.654027+00:00,2021-10-11 04:10:02.247321+00:00,18000,pe,2,Bank50 Pyramiding_1,NIFTY
