Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,long,2022-01-12 09:20,38851.65,1,930.00,0.1,930.00,0.01,2613.75,0.27,2685.00,0.28
1,Exit Long,short,2022-01-12 11:35,38890.05,1,930.00,0.1,930.00,0.01,2613.75,0.27,2685.00,0.28
2,Entry Short,short,2022-01-12 11:35,38890.05,1,581.25,0.06,1511.25,0.01,1155.00,0.12,682.50,0.07
2,Exit Short,long,2022-01-12 12:20,38866.00,1,581.25,0.06,1511.25,0.01,1155.00,0.12,682.50,0.07
3,Entry Long,long,2022-01-12 12:20,38866.00,1,-1932.50,-0.2,-421.25,-0.02,1585.00,0.16,3635.00,0.37
3,Exit Long,short,2022-01-12 14:05,38789.50,1,-1932.50,-0.2,-421.25,-0.02,1585.00,0.16,3635.00,0.37
4,Entry Short,short,2022-01-12 14:05,38789.50,1,-1906.25,-0.2,-2327.50,-0.02,1276.25,0.13,2736.25,0.28
4,Exit Short,long,2022-01-12 14:55,38864.95,1,-1906.25,-0.2,-2327.50,-0.02,1276.25,0.13,2736.25,0.28
5,Entry Long,long,2022-01-12 14:55,38864.95,1,-4720.00,-0.49,-7047.50,-0.05,816.25,0.08,5608.75,0.58
5,Exit Long,short,2022-01-13 09:25,38676.95,1,-4720.00,-0.49,-7047.50,-0.05,816.25,0.08,5608.75,0.58
6,Entry Short,short,2022-01-13 09:25,38676.95,1,728.75,0.08,-6318.75,0.01,3701.25,0.38,3347.50,0.35
6,Exit Short,long,2022-01-13 11:10,38647.00,1,728.75,0.08,-6318.75,0.01,3701.25,0.38,3347.50,0.35
7,Entry Long,long,2022-01-13 11:10,38647.00,1,-1821.25,-0.19,-8140.00,-0.02,1308.75,0.14,2276.25,0.24
7,Exit Long,short,2022-01-13 12:40,38574.95,1,-1821.25,-0.19,-8140.00,-0.02,1308.75,0.14,2276.25,0.24
8,Entry Short,short,2022-01-13 12:40,38574.95,1,-1261.25,-0.13,-9401.25,-0.01,1813.75,0.19,1460.00,0.15
8,Exit Short,long,2022-01-13 13:45,38624.60,1,-1261.25,-0.13,-9401.25,-0.01,1813.75,0.19,1460.00,0.15
9,Entry Long,long,2022-01-13 13:45,38624.60,1,-2066.25,-0.21,-11467.50,-0.02,1263.75,0.13,2820.00,0.29
9,Exit Long,short,2022-01-13 14:45,38542.75,1,-2066.25,-0.21,-11467.50,-0.02,1263.75,0.13,2820.00,0.29
10,Entry Short,short,2022-01-13 14:45,38542.75,1,-877.50,-0.09,-12345.00,-0.01,558.75,0.06,2016.25,0.21
10,Exit Short,long,2022-01-13 15:20,38577.05,1,-877.50,-0.09,-12345.00,-0.01,558.75,0.06,2016.25,0.21
11,Entry Long,long,2022-01-13 15:20,38577.05,1,-6231.25,-0.65,-18576.25,-0.06,513.75,0.05,10113.75,1.05
11,Exit Long,short,2022-01-14 09:25,38328.60,1,-6231.25,-0.65,-18576.25,-0.06,513.75,0.05,10113.75,1.05
12,Entry Short,short,2022-01-14 09:25,38328.60,1,2702.50,0.28,-15873.75,0.03,5456.25,0.57,3985.00,0.42
12,Exit Short,long,2022-01-14 12:20,38219.70,1,2702.50,0.28,-15873.75,0.03,5456.25,0.57,3985.00,0.42
13,Entry Long,long,2022-01-14 12:20,38219.70,1,4126.25,0.43,-11747.50,0.04,12370.00,1.29,627.50,0.07
13,Exit Long,short,2022-01-17 09:55,38385.55,1,4126.25,0.43,-11747.50,0.04,12370.00,1.29,627.50,0.07
14,Entry Short,short,2022-01-17 09:55,38385.55,1,-1878.75,-0.2,-13626.25,-0.02,307.50,0.03,2671.25,0.28
14,Exit Short,long,2022-01-17 10:15,38459.90,1,-1878.75,-0.2,-13626.25,-0.02,307.50,0.03,2671.25,0.28
