Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,long,2022-01-04 09:20,36666.95,1,552.92,0.06,472.92,0.01,3892.50,0.42,4391.25,0.48
1,Exit Long,short,2022-01-04 09:45,36690.00,1,552.92,0.06,472.92,0.01,3892.50,0.42,4391.25,0.48
2,Entry Long,long,2022-01-04 09:25,36785.10,1,-2400.83,-0.26,-1907.92,-0.02,938.75,0.1,7345.00,0.8
2,Exit Long,short,2022-01-04 09:45,36690.00,1,-2400.83,-0.26,-1907.92,-0.02,938.75,0.1,7345.00,0.8
3,Entry Long,long,2022-01-04 09:30,36779.95,1,-2272.08,-0.25,-4160.00,-0.02,498.75,0.05,7216.25,0.78
3,Exit Long,short,2022-01-04 09:45,36690.00,1,-2272.08,-0.25,-4160.00,-0.02,498.75,0.05,7216.25,0.78
4,Entry Long,long,2022-01-04 09:35,36737.45,1,-1209.58,-0.13,-5349.58,-0.01,216.25,0.02,6153.75,0.67
4,Exit Long,short,2022-01-04 09:45,36690.00,1,-1209.58,-0.13,-5349.58,-0.01,216.25,0.02,6153.75,0.67
5,Entry Long,long,2022-01-04 09:40,36573.15,1,2897.92,0.32,-2431.67,0.03,2901.25,0.32,2046.25,0.22
5,Exit Long,short,2022-01-04 09:45,36690.00,1,2897.92,0.32,-2431.67,0.03,2901.25,0.32,2046.25,0.22
6,Entry Short,short,2022-01-04 09:45,36690.00,1,-2530.83,-0.28,-4962.50,-0.03,0,0,2974.58,0.32
6,Exit Short,long,2022-01-04 09:50,36790.70,1,-2530.83,-0.28,-4962.50,-0.03,0,0,2974.58,0.32
7,Entry Long,long,2022-01-04 09:50,36790.70,1,771.55,0.08,-4570.95,0.01,5222.50,0.57,527.50,0.06
7,Exit Long,short,2022-01-04 11:30,36822.00,1,771.55,0.08,-4570.95,0.01,5222.50,0.57,527.50,0.06
8,Entry Long,long,2022-01-04 09:55,36820.45,1,17.80,0,-4533.15,0,4468.75,0.49,1281.25,0.14
8,Exit Long,short,2022-01-04 11:30,36822.00,1,17.80,0,-4533.15,0,4468.75,0.49,1281.25,0.14
