Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,long,2022-01-12 09:25,18191.10,1,1596.55,0.18,1216.55,0.02,2920.00,0.32,1300.00,0.14
1,Exit Long,short,2022-01-12 13:05,18223.45,1,1596.55,0.18,1216.55,0.02,2920.00,0.32,1300.00,0.14
2,Entry Long,long,2022-01-12 09:30,18187.00,1,1801.55,0.2,3038.10,0.02,3125.00,0.34,1095.00,0.12
2,Exit Long,short,2022-01-12 13:05,18223.45,1,1801.55,0.2,3038.10,0.02,3125.00,0.34,1095.00,0.12
3,Entry Long,long,2022-01-12 09:35,18175.00,1,2401.55,0.26,5459.64,0.02,3725.00,0.41,270.00,0.03
3,Exit Long,short,2022-01-12 13:05,18223.45,1,2401.55,0.26,5459.64,0.02,3725.00,0.41,270.00,0.03
4,Entry Long,long,2022-01-12 09:50,18195.05,1,1399.05,0.15,6878.69,0.01,2722.50,0.3,1010.00,0.11
4,Exit Long,short,2022-01-12 13:05,18223.45,1,1399.05,0.15,6878.69,0.01,2722.50,0.3,1010.00,0.11
5,Entry Long,long,2022-01-12 09:55,18194.10,1,1446.55,0.16,8345.24,0.01,2770.00,0.3,962.50,0.11
5,Exit Long,short,2022-01-12 13:05,18223.45,1,1446.55,0.16,8345.24,0.01,2770.00,0.3,962.50,0.11
6,Entry Long,long,2022-01-12 10:00,18199.90,1,1156.55,0.13,9521.79,0.01,2480.00,0.27,1252.50,0.14
6,Exit Long,short,2022-01-12 13:05,18223.45,1,1156.55,0.13,9521.79,0.01,2480.00,0.27,1252.50,0.14
7,Entry Long,long,2022-01-12 10:05,18182.25,1,2039.05,0.22,11580.83,0.02,3362.50,0.37,370.00,0.04
7,Exit Long,short,2022-01-12 13:05,18223.45,1,2039.05,0.22,11580.83,0.02,3362.50,0.37,370.00,0.04
8,Entry Long,long,2022-01-12 10:10,18187.70,1,1766.55,0.19,13367.38,0.02,3090.00,0.34,642.50,0.07
